task,$\textsc{SyRup}$,$\textsc{Burst}$,$\textsc{SMyth}$,$\textsc{SyRup}$,$\textsc{Burst}$,$\textsc{SMyth}$
bool_band,4,4,4,4,4,4
bool_bor,4,4,4,4,4,4
bool_impl,3,3,4,4,4,4
bool_neg,2,2,2,2,2,2
bool_xor,4,4,4,4,4,4
nat_add,2,5,5,3,6,6
nat_iseven,3,4,4,4,4,4
nat_max,7,8,9,9,9,9
nat_pred,2,3,3,3,3,3
list_hd,2,3,3,3,3,3
list_tl,2,3,3,3,3,3
list_last,3,4,5,4,6,6
list_take,5,9,5,5,10,8
list_drop,4,10,8,10,99,10
list_nth,5,9,6,12,12,9
list_sum,3,2,2,3,2,2
list_length,1,2,3,3,3,3
list_even_parity,5,6,99,6,7,99
list_inc,1,1,1,2,2,2
list_stutter,2,2,3,3,3,3
list_snoc,1,3,4,2,5,5
list_append,2,4,4,3,6,6
list_compress,5,10,99,10,11,99
list_concat,3,5,4,4,99,6
list_rev_append,5,4,4,5,5,5
list_rev_fold,2,2,2,3,3,3
list_rev_snoc,3,3,4,5,5,5
list_rev_tailcall,99,99,5,99,99,8
list_pairwise_swap,99,6,7,99,7,7
list_sort_sorted_insert,3,4,5,5,5,7
list_sorted_insert,11,9,11,12,12,12
list_map,1,3,5,2,6,6
list_filter,4,7,8,9,9,9
list_fold,99,4,5,99,7,7
tree_count_leaves,2,3,4,3,4,7
tree_count_nodes,2,4,4,3,4,6
tree_inorder,5,5,5,5,5,5
tree_inorder_bool,6,4,5,6,6,6
tree_postorder,8,6,99,9,8,99
tree_preorder,2,5,5,5,5,5
tree_nodes_at_level,9,10,99,11,11,99
tree_map,5,5,6,7,7,7
tree_binsert,99,18,99,99,20,99
